OBJECTID,TRACT,BLKGRP,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,SHAPE_Length,SHAPE_Area
38,001302,1,110010013021,2296,2233,1786,188,4,230,1,24,22,11,37,3,175,1642,186,2,227,1,4,21,10,34,3,2203,1724,174,4,217,1,24,21,11,34,3,167,1588,172,2,214,1,4,20,9,32,3,1695,1557,138,3260.10759702502,406534.488207195
39,001902,1,110010019021,1252,1206,123,1003,2,9,0,69,41,14,7,0,124,81,998,0,9,0,4,32,13,7,0,1020,105,828,2,9,0,44,28,11,3,0,85,78,823,0,9,0,2,20,10,3,0,536,502,34,2750.47202620757,426996.026473529
40,001902,2,110010019022,717,685,114,534,0,15,0,22,27,15,3,0,55,96,527,0,15,0,1,20,10,3,0,605,96,456,0,15,0,17,17,12,1,0,41,83,452,0,15,0,1,11,8,1,0,325,305,20,3046.87460877923,461165.842254078
41,002001,1,110010020011,1297,1247,203,681,8,31,0,324,35,14,5,2,488,91,657,4,28,0,5,21,10,2,1,1031,156,573,7,23,0,236,28,14,2,2,362,75,552,3,21,0,0,17,10,0,1,610,543,67,1797.95616861863,135397.558726413
42,002001,2,110010020012,1043,997,395,491,2,30,4,75,34,12,11,0,141,350,481,2,30,4,5,22,10,9,0,866,347,407,0,25,4,52,24,8,3,0,108,309,399,0,25,4,1,17,8,2,0,416,372,44,3705.04165706065,497455.871614763
43,002002,1,110010020021,992,939,236,600,4,22,2,75,33,5,11,11,128,213,584,4,22,2,8,25,4,11,3,811,196,506,4,18,2,54,20,5,4,9,92,176,494,4,18,2,5,19,4,4,3,358,335,23,3585.34334767204,343485.924573163
44,002002,2,110010020022,1407,1316,241,785,8,13,7,262,36,18,3,41,445,130,771,4,13,0,17,20,15,2,5,1084,181,648,6,13,7,169,26,16,3,27,292,110,638,4,13,0,5,17,13,2,5,605,549,56,1830.74622061847,141528.27296323
45,002002,3,110010020023,1414,1356,301,912,2,19,0,122,37,8,16,3,221,234,892,1,18,0,11,30,6,16,3,1099,247,715,2,17,0,80,23,5,7,3,157,201,697,1,16,0,5,19,3,7,3,473,450,23,2445.17366104596,364157.305955816
46,002101,1,110010021011,1500,1429,126,1042,6,30,9,216,38,18,5,1,366,49,1022,5,30,1,1,25,13,4,0,1156,104,827,2,21,6,152,25,9,2,1,257,45,813,1,21,1,1,17,7,1,0,602,556,46,2021.53829149037,182829.691897189
47,002101,2,110010021012,977,920,178,490,2,31,0,219,23,11,4,1,380,76,474,2,29,0,1,13,8,4,1,769,141,410,2,24,0,151,11,8,3,1,265,69,401,2,22,0,0,8,5,3,1,464,419,45,1195.42637125343,85476.1536830847
48,002101,3,110010021013,1236,1165,176,826,6,2,0,155,47,13,5,1,319,78,808,2,2,0,3,21,12,3,0,979,139,682,4,2,0,97,34,11,4,1,215,71,670,0,2,0,0,18,10,3,0,466,440,26,1451.11169568588,131643.938386198
49,002101,4,110010021014,785,773,102,460,12,4,0,195,8,1,6,1,301,24,447,4,4,0,1,4,0,1,1,622,79,378,10,4,0,142,8,1,4,1,217,23,369,4,4,0,1,4,0,1,1,297,272,25,1381.94870325189,118794.8369004
50,002101,5,110010021015,811,788,93,483,8,32,0,172,12,4,6,2,285,33,452,0,30,0,0,9,3,5,2,629,73,388,6,26,0,116,10,4,4,2,198,31,366,0,25,0,0,7,3,4,2,354,296,58,1168.36725768724,82319.6179462189
51,001302,2,110010013022,3649,3559,3084,137,9,289,1,39,11,10,67,6,233,2900,132,5,285,1,13,9,9,64,6,3528,2985,133,9,279,1,39,10,11,59,6,225,2809,128,5,275,1,13,8,9,57,6,3134,2736,398,4010.37400675896,679884.914822422
52,001302,3,110010013023,912,880,726,54,0,76,0,24,7,7,18,0,75,677,53,0,75,0,4,6,6,17,0,858,686,52,0,73,0,21,7,6,13,0,67,641,51,0,72,0,4,6,5,13,0,546,502,44,4778.22813945651,505688.223438305
